字段,标题1
"Good report, good model. Not a blindly bullish crypto nut however, there are a lot of nuances not explained in this report. It would take a report that's even longer to explain the nuances which I agree sounds dicey. HIVE is a highly risky endeavor, and one has to believe that the price of crypto skyrockets in the yrs to come to believe in HIVE. For HIVE to skyrocket the following needs to happen (plain and simple):- ETH/Crypto continues rising steadily (obviously)- HIVE hoards inventories and sells at much higher prices in futureHIVE is essentially a long (out of the money) call option on crypto. One would probably conclude that if you are a crypto believer, you should just buy the coins however, there is meaningful demand for ppl to gain exposure within their brokerage accounts without the custody concerns of holding the coins (and for tax purposes).A comparison to gold miners is a stretch, imo. Historically, commodities tend to revert back to a price that is reflective of the costs to mine/extract them; which (inflation adjusted) remains relatively static over time. What's different about crypto mining, is that as the mining/hashrate/diffic... grows, so too does the cost to mine. That being the case, prices of crypto that are much higher than when they were mined, can more reasonably be sustained over the long term, unlike most commodities. This is the key point/difference.  So for HIVE to make a lot of money, crypto needs to keep rising, and HIVE needs to hoard inventory and sell at significantly higher prices than when the coins were mined. This model can be brutal at times and extremely profitable at others. Case in point, the largest Bitcoin miner in the world (BITMAIN - a private co), made more money in 2017 than NVDA, the darling of the Nasdaq. Because BITMAIN mined coins at low margins for yrs, hoarded them, and sold at significantly higher prices. Large crypto currencies cannot realistically expect to be viable starting off w/ a PoS consensus algorithm as they will be too centralized (PoS can be a safeguard against mining centralization however, only once coins are widely distributed). If a crypto starts off w/ PoS, that is a hugely centralized network. As ETH pivots to PoS slowly over a long period of time, the price of ETH may skyrocket as supply will become more visible and begin to taper. Additionally, if HIVE is sitting on a mountain of ETH when this happens, their steak can be quite profitable (and stable) should they decide to continue holding inventory if price keeps rising, or they can sell at what may be very high prices. BTC and other cryptos trying to be the digital gold, will have to use a PoW model and miners will need to be mining PoW cryptos for a long time. Bitcoin can theoretically switch to PoS when (and only when) the 21 millionth coin is mined. Again, I am not a crypto nut however, this analysis misses a lot of key nuances specific to crypto mining, and comparing it to gold mining isn't very meaningful (for many more reasons than I have cited above). HIVE is hugely risky and buying crypto is probably a better bet (imo) however, for those that want exposure to crypto in their brokerage account w/out the custody concerns and believe much higher prices are on the horizon; this isn't a bad way to participate. If the author of this article would ever like to debate this I would be hugely interested.",
"Block chain doesn't depend on crypto to exist.Cryptosporidium are FIAT $$ too but the 'say so comes people with no real authority Slow & expensive transactions and with it taking wild swings up & down who wants to take it or use it? Or hold it?If just used like many companies do now to be 'hip' Lamborghini dealers for example, they convert to $ immediately and if it has fallen in meantime you make up difference If it is just a middleman currency that will lose interest and hipness after awhile",
Here's another article related to both Blockchain and ETH (and why a company like HIVE is so much a part of the foundational infrastructure of IoE). None of the analysts (including CFA's like Ed) have been able to understand that this is all one of the areas that P0S will lead towards (and although P0S is anywhere up to 2 years down the road this is a perfect example of an opportunity for HIVE).,
... and then there's this...http://bit.ly/2GBc3P9,
"""Cryptocurrency miner like Hive can also be compared to producing gold miners for valuation purposes.""Perhaps this is true in the case of granddad/grandkids mining operation but it is definitely wrong in the case of Hive, Hut, Dash and the other large scale miners/master node operators.  Hut/Hive/Dash all have strategies of hording the coins they've mined. I don't know of a single gold miner that hordes gold produced, only selling what is required to maintain operations (looking at retained earnings. It seems most in recent days need to sell every once mined to stay in business. Other major differences of course is available ""oz"". With high enough gold prices, a lot of North America's copper/gold deposits become economical and available reserves and resources jump hugely. Not the case for cryptominers - BTC, ETH, DASH, etc. coins all have fixed cap counts.Its the NPV of future coin production (in coin being mined) that provides a reasonable basis for valuing Hive, Hut and Dash. My evolving models suggest that Hive and Dash are correctly valued today based on mining futures (I discount Hive BTC mining until they report actual coin production numbers). Similarly its hard to say if Hut is correctly valued since there is very limited data to date - I like actual production numbers and coins horded counts rather than hand waving around MW of power. Data improve in coming quarters.Thx for a great and timely article.",
"OK…I’ll try to keep it simple…too many things to comment on … I believe you are fundamentally incorrect and clearly don’t see HIVE, Blockchain, or the opportunities offered the way I do...However, how great to comment on so many different stocks in one hit piece...clearly you pick up on bits and pieces that help you...onward....1. You finally are able to admit HIVE truly doesn't fit the pseudo-cryptocurrency label you shouted at readers in your first missive, yet as of this date, and this writing, you still fail to point out that as a company, HIVE has really only been in existence since Sept. 17th, 2017 - and that this last quarter makes it truly the 1st quarter that its been operating - that is unless you wish to misrepresent the 12 days in Sept. as a full quarter. HIVE has only shown operational efficiencies in their last report but hey, you have to paint the truth somehow to support your short.2. Your explanation as to how HIVE as a miner projects their revenues, found in the paragraph starting with ""Cryptocurrency miners such as Hive and MGT project their revenue based on these main factors” with the comment ""larger miners like Genesis/Hive … have higher hash rate speeds, but lead to higher electricity costs”, fails to address and account for the strategy created by HIVE’s management (with GENESIS’ participation) regarding energy and their costs (by the way, the term computational power covers hashrates, GPU’s,rigs, electricity).3. When you state “while these revenue projections can be met or even exceeded, the most likely scenario is that these figures are too optimistic” I’d like to point out that you were wrong the last time you wrote here on SA…and we’ll see what happens with year end. What I can tell you is that HIVE is about to announce that they’re on schedule/possibly ahead of with their buildout.... and you do realize that pricing is pretty much manipulated entirely by WS (and its global brethren) these days, right?4. You comment that the ""revenue projections based on ETH or BTC future prices must be taken with a grain of salt”. This is kind of accurate; but then again, you must be looking into your Quan/Con Magic 8-Ball? Last time I checked there is a litany of geo-political uncertainty that could lead to a market meltdown ... and you also don’t mention that WS is primarily the culprit to hold accountable for the price fluctuations - Arb, Options, GREED. Moreover, that’s why a “hoard” for crypto is interesting (potatoe, pohtahtoe). See the last part of 3 for amplification.5. Your comments related to ""mining difficulty” show something….that you don’t know that you don’t know… or do you know that you don’t know? Because you post 2 very useful sites that definitely understand what they’re talking but fail to correlate the data that they show to actual earnings or projections - in fact you fail to correlate any of the data to HIVE. Moreover, at a very basic level (and what I find interesting), you demonstrate the inability to understand that Casper (P0S) addresses functionality of the network as well as fail to identify the attendant earning opportunities - and that’s why you’re not getting what’s going on with HIVE. For me, you talk about HIVE like you’re only used to the Missionary position….and while being/laying on your back may work for you, it really isn’t that exciting and misses a whole lot of everything else…and again, you fail to mention that the fluctuations in pricing for crypto has more to do with WS creating and trading on volatility rather than the underlying technology - and in doing so, fail to address core possibilities in an economy of function.So, for all of us here, please explain how the ETH difficulty chart and graph correlates to HIVE’s objectives and please also explain their correlation and importance related to Casper (or the effect Casper will have and what the data will then read) and HIVE’s earning potential with the possible switch to P0S? Please explain how you could fail to discuss forging in this piece; is that because you don’t understand? Wait, that’s one of the reasons why you needed to have me lay it out for you. It is. That’s why you asked me and that's why you couldn't write about it.6. Regarding the “difficulty bomb”…. oooh…. sooo scary…..but It all comes down to this simple point - either ethereum will persuade the majority of its users to upgrade to the new proof-of-stake-powered blockchain or ethereum will run the risk of creating another blockchain.There will be bumps on the road either way. BTW, that’s still a few years away.7. ... and to discuss Hut 8 which just started trading on March 6th…seriously, How about a big WTF? I clearly can see that you use bits and pieces of information to patch together your information. Newsflash Flash, they have not yet acquired 60 megawatts and I can tell you about their datacenter(s)…8. For P0W and P0S, try this: http://bit.ly/2FOJiO1. 9. Now for the b*tch slap you've got coming.... get to the section on Capital Lock up Costs. Since you're challenged it's put simply: In a Proof-of-Stake system, the coin holders get paid transaction fees for validating transactions. Therefore, Proof-of-Stake creates a clear and unambiguous economic incentive to hold coins for the long term. I did not stutter.10. You don’t have any revenue models to address a P0S system.I'm sure you'll find a talking point to counter this absent item.11. Furthermore, the future price of ETH (in a P0S system) can and will be analyzed based on the expected future cash flows, which are generated in the form of network transaction fees. I mean think about it, essentially, a P0S blockchain can be thought of as a decentralized Visa/Mastercard with all the additional distributed ledger functionality supported by the specific implementations... and that's important, because a Proof-of-Stake coin value can be supported by traditional value arbitrage investing. 12.  The bottom line for P0S is if Casper is a successful P0S upgrade, Ethereum and other competing POS chains (in the long run) become stores of value and as payment networks/ledgers.13. Why is IBM of the belief there’s at least $3T of opportunity in the near future with Blockchain? Why has AMEX now developed their own blockchain?14. The best comment you made in your entire piece was ""Investors would be getting a lot more value if Genesis and Hive were one entity”. That would be called one hell of an opportunity wouldn’t it. I guess that could make HIVE a takeover target. So maybe there’s a bit more of a reason why Fidelity is involved. Who would want to have a large miner as a validator/ forger for transactions? What would that kind of roll up cost…let’s say for an Insurance Company? Hmm, let’s see….15. Unfortunately,  in an effort to try and simplify my writing, most everything else you’ve based your commentary related to the ""financial assumptions made by Hive are 1) not predictable in terms of ETH and BTC pricing, and 2) not sustainable in terms of mining difficulty and costs” etc. are boring and incorrect because you just don’t understand the importance of what’s occurring in Blockchain and HIVE and why its positioned the way it is - and being incorrect at a foundational level makes everything else askew. Disclosure: I am long HIVE.",
"So Hive has $115 million in cash and coins, the $32 million deposit already paid for the bitcoin facility in Sweden, so you’re for seeing that the cash balance which is .51 a share will not hold up and burn up in 8 months.",
the blockchain magic has gone.  I bought LTV and BLOC and both are down.  So is IBM.Blockchain is just a distributed ledger.  We have used our own version of blockchain to track drawings and other documents for 30 years....long before Al Gore invented the internet.You can read a previous post on this here.https://seekingalpha.c...Grant,
"I started to write a long counter to your missive (once again) and decided to stop because you're just so incorrect on just too many thing. Moreover, the email that you sent me to walk you through the numbers proved I was right; you're a fake. Quan Funds should be called Con Funds. I'll bet you $10K US you're wrong about next quarters numbers.",
Excellent research. Thank you.,
"Which online trading platforms allow you to short the Crypto stocks mentioned in this article?  I also want to short OSTK and GBTC, but am unaware of a platform that allows it.  Thanks in advance for any insight!",
"""One reason may be that Longfin has maintained the highest annual borrow rate (105% to 130%) during the last two months, which is a clear sign that lenders are very nervous about this stock.""@author, I get the impression that extremely high borrow rate is more due to the demand to borrow LFIN stock.  I'm sure brokers set that rate to try to pull in the maximum amount from short sellers.  I don't know how many shares are lent directly by the owners and how many are lent out by the brokers but I suspect it's skewed toward the brokers who loan out their clients' shares, either because their clients have a margin balance or through a direct agreement.Unfortunately, everyone already knows that Longfin's stock is grossly overvalued so the borrow rates and the option prices reflect that.  I don't think it's a surprise to anyone that Longfin's $3B market cap is vapor.  Short sellers who think they have a lock on the stock eventually dropping are almost certainly correct, but they might go broke being short in the interim.  There may only be about 1.5M shares in Longfin's float and that makes the stock extremely volatile which can also hurt short sellers.",
Thanks for the article Ed - like the insights. Would be great to see more from you.,
"Does anyone know when LFIN has to report earnings? I know they went public under Reg A+, so disclosure rules are more lenient, but still...Very curious to see what happens to the stock price afterwards ;)",
"I've been investing since I was ~13 years old, was a broker til I retired in 2003 at 42 years old, I have absolutely NO CLUE what any of this is or means, couldn't explain it with a gun to my head, not by any means ""old fashioned"" just clueless",
"Great follow up article Ed,Great call on the Cryptocurrency Stocks.",
All these stocks will eventually go to zero. They are hard to short though.,Pseudo Cryptocurrency Stock Shorts Revisited
Thank you. By the way $98.92 is a typo in the 2nd pp below the qcom chart.,Broadcom Drops Qualcomm Bid Reports Earnings With Positive Technical Charts
Petrobras has a 6 month option on SDLP'S  West Capella when it's gig is up in March. Any thoughts anybody??,
Good chance West Africa will lag other regions in offshore recovery. The oil here tends to be light... what we need is heavier oil to blend with abundant ultra-light shale liquids.,
Vlad - Thanks for another strong and interesting contribution.  I like that you gave some more flavor on the demand side and I know that information is not always readily available or clear.  Based on your 3 articles to date I would categorize the regions as follows:Norwegian North Sea  -   supply tight -  highly attractive - bullish day ratesGulf Of Mexico (GOM)  - overs supplied -  less attractive - bearish day ratesSub Saharan Africa   -  balanced supply - potentially attractive - not bull or bear hereCould you comment on relative market size of each of these Regions?  My sense is that the ranking on volume (not $) is:   but this is not very precise GOM #1NNS #2SSA #3Thanks again - really enjoying this series and the overall picture being painted.    GLTA,
No mention of West Jupiter in Nigeria?,
"Jasper Explorer is a real oldtimer, a pelican class design drillship originally built in 1973 and named ""Havdrill"" at that time. The rig has had many owners and as many names in the past decades (Canmar Explorer, Explorer I, Northern Explorer, Neptune Explorer).It's of the same design as Paragon Offshore's DPDS2 drillship. That said, the rig has been upgraded in 2010. It is currently cold-stacked and I don't expect it to work again. Jasper Offshore was already bankrupt in 2014 and the rig was handed over to the bondholders at that time.The company owned a second rig, ""Jasper Cosmopolitan"", a semi-sub converted to an accomodation unit but I couldn't find any information about its current status.http://bit.ly/2DsHmbE",How Tight Is Sub-Saharan Africa?
"Most of the recent stock gains didn't come because of Zejula sales in the recent quarter. In fact, the stock went down after the earnings call. All of the recent stock gains came after hefty insider buying.",
I agree with the Author that a takeout if 6 billion is a win/win for both he acquired and the buyer. That's the sweet spot but the TSRO has to agree to the sale. I have to think there are buyers at that price currently.,
"sounds all good but what about toxicity concerns of Zejula? also I believe the stock is only going up upon successfully completed pipeline projects, Zejula sales/growth seems prices in",
"It seems there is dilution risk given the slow ramp up in Zejula sales and the rate of spend.  They will want to keep plenty of cash on hand rather than let reserves dwindle - expect to always keep enough cash on hand to fund the company for 12 months. Would be good to see revenue estimates from some other analysts - rather than just take the optimistic guidance from Tesaro.  I think it is significant that Merck chose to partner with AZN with Lynparza rather than Tesaro, even though Zejula originated from the Merck labs. And we also have the Clovis PARP inhibitor as further competition. Always the unknown of the value of pipeline.","Tesaro's Long-Term Sales Guidance For Zejula Achievable, Shares Look Undervalued"
"Yep, always a good sign to see someone come out of pocket with after tax cash like we do.  It might be constructive to talk with her but I have spoken to the old CEO and liked him very much.  He owns stock too, but that didn't help the business turn around.  I was just curious if you had an operational or other thesis on what actually changes to fix the business so it can consistently make money.  It sounds like you do not but you have faith in the new CEO and know the equity is very cheap if they can manage to turn it around and i agree with you on that.  I'm just struggling to see what lever they need to pull to fix it and it seems they are too.",
"So what, the working capital has to stay in the business both operationally and from a fraudulent conveyance standpoint.  Where do you get any conviction that they can make the business profitable?  Losing $2.3mm a quarter just means you have 10 more quarters before they are forced to file and your equity is worthless.  I want to believe but it looks like they are doing more of the same and expecting a different answer, really hard to tell what is going to change the money losing path they have been on.  The old CEO was a great guy and doing all he could and  it just didn't matter.   What do you think will change?",
"What now?  If you owned the whole thing what would you be doing different?  You can't dividend cash because you have lease liabilities.  Throw it into bankruptcy or give it a few more quarters of blood letting and see if things change.  It is amazing the new CEO wants to review everything, I thought the old one was the activist guy and doing all the right things and she just needed to come in and follow his path.  I guess not.",
“My pain is self chosen at least so the profit says......down oh down...down oh down” quote Mad Season,
March data shows women's clothing had its best month in 2 years.   Easy comps for CBK too.   HQ building sold for a decent price.  EV close to zero.   Can CBK report a good quarter with high single digit SSS comps and a positive outlook next week?,
"Head office sale and leaseback done , as expected they just waited for the new CEO to join.  Decent price , seems to be low lease cost although we don’t know the exact amount on the lease rate.   Good to have another 13mn+ in cash and an EV below 10!",
"Why are revenues going to be lower in 2018 ?    Stores closures this year are quite small, in fact net closures I think might be close to zero from the conference call guidance.  SSS were +5 in q4 with positive trends like in q1 and q2 especially from easy comps.   Capex isn’t 7mn, management said it would be 3-4mn going forward as the IT investment is already complete.",
That was subjective (aka emotional). What am I missing than?,
"I wan't to love this company. This is so much to love. But I don't see a path to profitability. Assuming revenue stays the same over the next year (when we know it will likely decrease with store closures leading to decreased economies of scale and margins), even if operating margins are 4% and the firm hits is Capex reduction guidance of $7M, you're still at nearly break even free cash flow. Sorry for the run on sentence. Thanks for the write up. What am I missing?",
"The cash ""bleed"" has actually fallen a lot already - the full year results included a poor first half under the old CEO and clearing inventory at low prices.  And the last few years they've also been investing in IT which has inflated capex.   The capex outlook is stated as 3-4mn $ annually going forward, substantially below depreciation and recent years capex.   Q4 is always the seasonally weakest quarter and they generated over $5mn in free cash, although this was inflated by improved working capital which isn't sustainable.   If as they communicated on the conference call there are still big gains in gross margin to come, like they started to achieve in Q4 as old inventory has been cleared and mark downs much reduced, this would allow them to generate positive EBITDA again in 2018.  I think CCI's point is very well made - nothing is certain in investing, but a lot is about what price you pay for the situation and opportunity.  If CBK was trading at $2.5+ i wouldn't buy it, given the current situation.  But at $1 it's a completely different bet.    If the new CEO ends up being decent, and they monetize the building, and see positive SSS and GM improvement through 2018, this stock is very cheap at $1.   The 42 days to cover short interest would also help move things along if there is more positive news.   I expect we will only have to wait 3 months or so to find out what the new CEO's strategy will be, and for some news on the HQ building.",
"So, what makes you think CBK can be profitable again? I get it that the inventory is looking better, and the new CEO looks promising and the comps might be at a better place. For the share to rise, the company should really turn around. If the buyers return to the store due to the new/old design in CATO and its huge cash hoard, it makes sense.What's your take for this? Ok, they might sell their real estate for 15M and total cash will be at 38M which is roughly their mkt cap. BUT, without a real positive outlook and a bleed that stops, the share might not recover...",
I think the timing of the new CEO's arrival may explain why there might be a delay in some people's minds on the HQ building and follow-on cost cutting or store rationalisation at the recent Q4 results.  It would be strange for them not to wait for her to review and discuss these major strategic and financing topics with the Board before they make decisions and announce to investors.  3-4 months from her arrival date sounds realistic timing to me on all of this.,
"Thanks for this excellent work. I was adding to my CBK position today and this week. As a deep value investor, I’ve done okay with your investment comment. “You can make money buying when things go from bad to mediocre.”",
👍,
"Nice write up.    42 days to cover for shorts, if this starts to move on better news or a building disposal and it will be a bloodbath for shorts and most holders aren’t going to sell below 3 given their in price.   I’d also point out the big improvement in gross margin alongside the positive SSS number.  Management have clearly stated they are not focused just in SSS , they stopped discounting merchandise a lot through Black Friday and since, and recognize the need to get the gross margin back up and it was a big improvement in q4.  The CFO said this was just the start in margin and he was excited about the potential improvement on this for 2018.  They need it up another 300bp or more from here with positive SSS and you will see a major profit turnaround.  Cato is still printing negative SSS although I think the stock is interesting.  It is early days for both Cato and CBK turnaround efforts so need to be patient , and both stocks have plenty of cash.",
"The fourth quarter did not show a same store sales improvement versus third quarter if you use a 2 year stacked sss percentage.  I just see bleeding at this point.  The new CEO definately provides hope though.  I'll keep watching.  I like Cato better in this space.  Lot more cash, still profitable and they are going back to their old business model that worked well.",
CCICall/contact Duskin at Macellum Capital.,
"Thank you for this, clear simple and comprehensive.",
"Good job, already purchased some CBK after the third quarter conference call but things did not play out as expected. There was nothing really wrong with Q4 results but investors, clearly, expected more progress after the company already reported mid-single digit SSS increases for the month of October and saw the trends accelerating further into Q4 at the time of the Q3 earnings call at the end of November.Obviously, the acceleration didn't take hold given the 5.7% SSS increase reported for Q4 against a very easy comparison. Sold my position at a small loss in pre-market last week after digesting the press release.That said, I like your thesis but I would like to see more tangible evidence for a recovery in the business to re-enter the stock. Q1 will be quite interesting.",
"CCISorry, but too many negatives here:1) Inventory per store has increased to $893k from $801k in 2014, this could be a sign of strength  in some cases, but since net sales per sft ft dropped from $193 to $164, it is a very strong negative2) Cash per store has dropped from $965k in 2014 to only $498k. 3) One of their vendors supplies 27% of their merchandise and another about 10%. What happens if they no longer grant credit, but demand DVP or even worse pre-paid?4) 30% of their leases expire between now and Feb 2019. If they want to liquidate this could be a plus, but if they want to continue as a going concern, this is a negative.5) Very often a  ""buying interest"" of a building never closes. (I have been on both sides)I expect them to liquidate something like Bon-Ton Stores (BONTQ) is starting to doWYCO",
Interesting play:-),
would bet money Buffett is buying down here,
I couldn't agree more. nice job,Christopher & Banks: A Compelling Deep Value Play
Neimans!,
"I have been saying since the day of the IPO this company can not survive. Saks,Newman’s, and 20 other companies all do the same thing. The problem with stitch is they are stuck with tons of returned inventory. At least saks, Neimans etc already owns the inventory , they send you stuff that’s on the floor. If it’s returned it goes back on the floor or maybe off fifth at the end of the season. SFIX has to order merchandise to fill the orders than stuck with the items in a warehouse when they are returned. They simply can not make money and walmart, lord and Taylor, Amazon all have their own online systems and will NEVER buy stitch fix . Zappos was BRILLIANT, shop bop is brilliant, but the problem is you need to be the FIRST, the BEST or the ONLY to ever succeed in retail and they are NONE of those.",
disagree.  I'm a stitch fix customer.   I would not consider Amazon for clothing.  I hate shopping and stitch fix saves me time and introduces me to new ideas for my wardrobe. It's about as easy as it gets.,
"""That's a great shirt you're wearing.""""Thanks. Amazon recommended it to me.""That doesn't sound right. Nothing but my gut on this, but AMZN getting into StitchFix's business makes as much sense as Microsoft making home decorating recommendations.I agree with the author that STFX would make an attractive acquisition target.",
"i think your analysis--or rather, your extrapolation forward, is compelling (and well-written). Geez emotionally I am rooting for this company and I keep looking at it, to invest, but this combination of Wadrobe + Look is too daunting. Can't pull the trigger, and you've highlighted the problem. You can see why Scott Galloway thinks AMZN should be broken up. There is something disturbing about AMZN's chilling effect :(",
"SFIX is a well managed company with a definite plan, and it’s showing progress. Bias about new ideas and and ventures beyond the norm seem so lost in the mall stores where to this day many limitations exist even with all the tech support engaging. We have no idea of the opportunities SFIX is facing or finding out.",
"Ms Harding, thx for your well thought research. You may, in the future, want to do write ups on companies that do not have such bitter anti bias. I have rarely seen hate for a company like I have this one. As a multi yr holder, every time this stock takes a dip, the howls surface about bubbles bursting. It’s one of those things where, hey I missed it, I continue to miss it, and gosh darn it, until it makes valuation sense, I will not buy! When people use pe as an end all to investing, one is 100% guaranteed to miss opportunities like this one. The enhancing of the hatred comes from Amazon now being everywhere. It serves as a near constant reminder of just how far off some investors were in sizing up this company. Trust me, if your mad in 2018, your gonna be inconsolable in 2028",
"As a stitch fix customer, when I receive my FIX, I immediately go to Amazon to see if the item is available.  1/3 of the time it is not.  1/3 of the time it is the same price.  1/3 of the time the price on Amazon is 50% less.While i like the the convenience and basically no charge (if you purchase 1 item) I don't believe this will last.  WHile they were 1st to market, these bigger companies will either consume them or make them obsolete.",
Fvck Amazon,Stitch Fix: Amazon Will Win In The End
I just bought tencent on Friday.  do you like my entry point.  I've owned baba JD baidu bzun for awhile now and did well.  I had felt like I missed a chance on tencent and was waiting for a pullback.,
"I figured that self-proclaimed genius Donald J. Trump would do something stupid so I have waited to invest in Tencent, Alibaba, JD.com, Geely and BYD Co.I'll see how this trade war goes and look for a bottom to pull the trigger.  I'll eventually be long some or all of these names.",
"I am in Europe and with my broker (deGiro) I can only buy it in the Frankfurt stock exchange unfortunately, does anybody know the actual differences between the NNND and NNN1 tickers there ? There is a small price difference of the shares, between them. Any recommendation ? Many thanks !",
"Down 8% premarket, could be trade war fears & Naspers sale. Waiting to see where it settles.",
"Year end result as well as 4Q 2017 is posted on their website.What a result, what a company!",
"I live in Hong Kong and watch Tencent up close. They are the real deal for sure and the WeChat  Pay platform is quickly growing beyond China. Pony Ma was terrfic at the Fortune Global Forum last December in Guangzhou. Came across as thoughtful, visionary and with no ego. Short term market turbulence aside, Tencent seems like a no-brainer for adding on weakness and long term holding.",
No one mentioned that average WeChat user spends 4 hours per day on the app.,
"yes i know, many adrs trade  with normal symbols, 'F'  symbols are particularly bad  just trade in the bulletin, schwab charges an extra $50 to buy or sell them.  PTR , petrochina is listed in china and trades a regular symbol here",
"Love that they half of epic games, maybe can get them IPO it.  I wish they would get a normal four letter symbol though, awkward and rather problematic.",
"TD Ameritrade offers a commission-free ETF with low fees called GXC that covers the Chinese market, it is heavily concentrated in BABA, Tencent and Baidu. I prefer this over buying the individual securities as I think the risk is much lower with return potential maybe slightly lower.",
What’s with the low p/e of this baba and Baidu? The market won’t allow higher multiple because risks associated with Chinese companies?,
"Can't believe there is no mention of Napers--get Tencent plus a multitude of other internetand publishing assets for free--long BABA,BAIDU, BZUN, JD.COM and many others plusSouth African Napers.",
The P/E of TCEHY is at ~60.  Higher than BABA (49) or BAIDU (33). So isn’t it already on the expensive side ? any thoughts?,
China will educate more and more its people. Workers will be replaced by robots.,
How come you don't need it in your portfolio?,
Tencent is a Rocket that's just taking off ! #TCEHY,
Thanks for the article on Tencent Holdings. A question for anyone familiar with the company's financials...Is this an accurate picture of their cash flows?http://on.mktw.net/2HB...,
Coming to GDS now?,
"As a resident of Asia for 20+ years and a regular visitor to China, please note that this is a country of circa 1.3 billion emerging from rural poverty into urban digitalisation in the last decade. The likes of Tencent and Baba have the ability to execute in a market which has an abundance of runway. Long Tencent and BABA, very capable companies in the right sectors & markets at the right time.",
good article... long Tencent...love the diversification... recently took a position in GDS Holdings who run large data centers in China and count Tencent and Baba as customers...would appreciate your thoughts on GDS... lightly covered so anything you could offer up would be appreciated,
