标题,字段1_链接_链接,ABOUT,TIME,AUTHOR,COMMENTS,Unnamed: 6
OneSpan: Plagued By Anemic Growth,https://seekingalpha.com/article/4230882-onespan-plagued-anemic-growth,OSPN," Dec. 31, 2018, 2:59 PM ", Skyward Investments,1 Comment,
OptimizeRx: Expanding TAM For 2019 Revenue Ramp,https://seekingalpha.com/article/4230880-optimizerx-expanding-tam-2019-revenue-ramp,OPRX," Dec. 31, 2018, 2:54 PM ", Jenks Jumps,14 Comments,
Dorman Products: A Resilient Stock Price As Market Tanks,https://seekingalpha.com/article/4230875-dorman-products-resilient-stock-price-market-tanks,DORM," Dec. 31, 2018, 2:42 PM ", The Prospector,,
Concho Resources Is Raising Production By 25% In 2019,https://seekingalpha.com/article/4230876-concho-resources-raising-production-25-percent-2019,CXO," Dec. 31, 2018, 2:14 PM ", Todd Akin,21 Comments,
Neurocrine Biosciences: A Moat Builder,https://seekingalpha.com/article/4230869-neurocrine-biosciences-moat-builder,NBIX," Dec. 31, 2018, 2:10 PM ", Nascent Trader,2 Comments,
Dillard's Still Has Room For Downside,https://seekingalpha.com/article/4230872-dillards-still-room-downside,DDS," Dec. 31, 2018, 1:56 PM ", Joseph Heglin,7 Comments,
"DGRO: Better Returns, Lower Volatility Than S&P 500",https://seekingalpha.com/article/4230858-dgro-better-returns-lower-volatility-s-and-p-500,DGRO," Dec. 31, 2018, 1:34 PM ", Ryan Zentko,21 Comments,
Ollie's Bargain Outlet A Buy Amid Market Decline,https://seekingalpha.com/article/4230867-ollies-bargain-outlet-buy-amid-market-decline,OLLI," Dec. 31, 2018, 1:25 PM ", Mike Berner,10 Comments,
Intel: The 15 Plus Year Breakout - Part 3,https://seekingalpha.com/article/4230865-intel-15-plus-year-breakout-part-3,INTC," Dec. 31, 2018, 1:19 PM "," Arun Chopra CMT, CFA",55 Comments,
Acorda Gets Much Needed FDA Approval To Counter Patent Setback,https://seekingalpha.com/article/4230864-acorda-gets-much-needed-fda-approval-counter-patent-setback,ACOR," Dec. 31, 2018, 1:17 PM ", Terry Chrisomalis,,
Texas Pacific Land Trust: A Different Approach,https://seekingalpha.com/article/4230859-texas-pacific-land-trust-different-approach,TPL," Dec. 31, 2018, 1:05 PM ", Michael Boyd,312 Comments,
Alexion Comes Roaring Back To Protect Its Key Drug Program,https://seekingalpha.com/article/4230857-alexion-comes-roaring-back-protect-key-drug-program,ALXN," Dec. 31, 2018, 1:00 PM ", Terry Chrisomalis,23 Comments,
Genomic Health Is Positioned For Strong Returns,https://seekingalpha.com/article/4230851-genomic-health-positioned-strong-returns,GHDX," Dec. 31, 2018, 12:33 PM "," Andres Cardenal, CFA",6 Comments,
Tilray: A Surreal Moment Of Insanity Whose Collapse Can Only Be Averted By Divine Agency,https://seekingalpha.com/article/4230843-tilray-surreal-moment-insanity-whose-collapse-can-averted-divine-agency,TLRY," Dec. 31, 2018, 11:51 AM ", Easterly Winds,31 Comments,
"Hess Corporation - The Investment Phase Is Almost Over, Now It's Time For The Rewards",https://seekingalpha.com/article/4230839-hess-corporation-investment-phase-almost-now-time-rewards,HES," Dec. 31, 2018, 11:23 AM ", The Value Portfolio,4 Comments,
Tesla Offers To Forgive Your Lease Payments If You Take Delivery By Dec. 31,https://seekingalpha.com/article/4230838-tesla-offers-forgive-lease-payments-take-delivery-dec-31,TSLA," Dec. 31, 2018, 11:22 AM ", Anton Wahlman,131 Comments,
ACWV & VMVFX: My Top Picks For 2019 (Podcast),https://seekingalpha.com/article/4230831-acwv-and-vmvfx-top-picks-2019-podcast,"ACWV, VMVFX"," Dec. 31, 2018, 11:04 AM ", SA For FAs,,
Acceleron And Celgene Deliver Strong Results In The Phase 3 MEDALIST Trial,https://seekingalpha.com/article/4230830-acceleron-celgene-deliver-strong-results-phase-3-medalist-trial,"CELG, XLRN"," Dec. 31, 2018, 11:02 AM ", Chestnut Asset Management,,
Methanex Is Back In The Sale Bin,https://seekingalpha.com/article/4230828-methanex-back-sale-bin,MEOH," Dec. 31, 2018, 11:00 AM ", Long Term Wins,3 Comments,
"Lundin Petroleum: Dry Silfari Well, Doubled Revenue By 2021",https://seekingalpha.com/article/4230827-lundin-petroleum-dry-silfari-well-doubled-revenue-2021,LUPEY," Dec. 31, 2018, 10:58 AM ", Vasily Zyryanov,,
Barrick Gold: Gold Is About To Shine Again,https://seekingalpha.com/article/4230823-barrick-gold-gold-shine,GOLD," Dec. 31, 2018, 10:37 AM ", Fun Trading,105 Comments,
NeuroMetrix Is Grossly Misunderstood By The Market,https://seekingalpha.com/article/4230809-neurometrix-grossly-misunderstood-market,NURO," Dec. 31, 2018, 9:51 AM ", Dennis Chan,6 Comments,
GameStop - Why So Much Hate?,https://seekingalpha.com/article/4230808-gamestop-much-hate,GME," Dec. 31, 2018, 9:49 AM ", Faizan Muhammad,39 Comments,
BHP Billiton: Australian Commodity Company With A Secure 5.5% Yield,https://seekingalpha.com/article/4230797-bhp-billiton-australian-commodity-company-secure-5_5-percent-yield,"BBL, BHP"," Dec. 31, 2018, 9:04 AM ", The Value Portfolio,3 Comments,
Will Apple Beat Its Guidance?,https://seekingalpha.com/article/4230796-will-apple-beat-guidance,AAPL," Dec. 31, 2018, 8:52 AM ", Edward Ambrose,74 Comments,
Ionis: Performs Great In A Volatile Market,https://seekingalpha.com/article/4230792-ionis-performs-great-volatile-market,IONS," Dec. 31, 2018, 8:30 AM ", Long/Short Biotech,22 Comments,
Is This The Time To Buy Southern Company?,https://seekingalpha.com/article/4230788-time-buy-southern-company,SO," Dec. 31, 2018, 7:45 AM ", Bull's Run,28 Comments,
The Value Portfolio: AT&T - My Top Investment Idea For 2019 Has Enormous Potential,https://seekingalpha.com/article/4230786-value-portfolio-t-top-investment-idea-2019-enormous-potential,T," Dec. 31, 2018, 7:37 AM ", The Value Portfolio,123 Comments,
CyberArk's Strong Execution Should Outweigh An Imperfect Valuation,https://seekingalpha.com/article/4230785-cyberarks-strong-execution-outweigh-imperfect-valuation,CYBR," Dec. 31, 2018, 7:29 AM "," Stephen Simpson, CFA",5 Comments,
The Impact Of CenturyLink Network Problems,https://seekingalpha.com/article/4230740-impact-centurylink-network-problems,CTL," Dec. 31, 2018, 7:00 AM ", Esekla,84 Comments,
Apache Corporation: Take Advantage Of North American Oil,https://seekingalpha.com/article/4230780-apache-corporation-take-advantage-north-american-oil,APA," Dec. 31, 2018, 6:43 AM ", The Value Portfolio,10 Comments,
Top 5 Mining Stocks To Watch In 2019,https://seekingalpha.com/article/4230779-top-5-mining-stocks-watch-2019,"NMKEF, PVG, RNKLF"," Dec. 31, 2018, 6:34 AM ", Peter Arendas,189 Comments,
Mastercard: A Shareholder Friendly ATM,https://seekingalpha.com/article/4230766-mastercard-shareholder-friendly-atm,MA," Dec. 31, 2018, 5:35 AM ", Passive Income Pursuit,7 Comments,
Comp Growth And Camuto Acquisition Create A New DSW,https://seekingalpha.com/article/4230769-comp-growth-camuto-acquisition-create-new-dsw,DBI," Dec. 31, 2018, 5:27 AM ", Detroit Bear,2 Comments,
"LHC Group: A Solid Bet, Obamacare Or Not",https://seekingalpha.com/article/4230763-lhc-group-solid-bet-obamacare,LHCG," Dec. 31, 2018, 5:10 AM ", The Prospector,3 Comments,
An End-Of-The Year Review For Stocks I've Written About In 2018,https://seekingalpha.com/article/4230764-end-year-review-stocks-written-2018,"AWCMY, BMY, HMHC"," Dec. 31, 2018, 4:50 AM ", Looking For Diogenes,10 Comments,
Zuora Will Be A Holiday Present For Investors,https://seekingalpha.com/article/4230753-zuora-will-holiday-present-investors,ZUO," Dec. 31, 2018, 2:50 AM ", Bert Hochfeld,25 Comments,
Rigel Pharmaceuticals: My First Buy In 2019,https://seekingalpha.com/article/4230743-rigel-pharmaceuticals-first-buy-2019,RIGL," Dec. 31, 2018, 12:18 AM ", Biologics,28 Comments,
"Marker Therapeutics: Buy, Sell, Or Hold?",https://seekingalpha.com/article/4230739-marker-therapeutics-buy-sell-hold,MRKR," Dec. 30, 2018, 10:02 PM ", Busted IPO Forum,43 Comments,
Weekly Cannabis Report: Strong Finish To A Tough 2018,https://seekingalpha.com/article/4230737-weekly-cannabis-report-strong-finish-tough-2018,"ACB, ACRZF, ALEAF"," Dec. 30, 2018, 9:23 PM ", Cornerstone Investments,42 Comments,
Week 1 Breakout Forecast 2019: Year In Review Analysis And New Stock Picks,https://seekingalpha.com/article/4230734-week-1-breakout-forecast-2019-year-review-analysis-new-stock-picks,XXII," Dec. 30, 2018, 9:18 PM ", JD Henning,3 Comments,
Square: Lower Reset,https://seekingalpha.com/article/4230727-square-lower-reset,SQ," Dec. 30, 2018, 6:32 PM ", Stone Fox Capital,122 Comments,
Shake Shack: Growth Potential Overestimated,https://seekingalpha.com/article/4230723-shake-shack-growth-potential-overestimated,SHAK," Dec. 30, 2018, 5:56 PM ", Gainsboro Capital,15 Comments,
"AMEDISYS: Likely Winner, Regardless Of Obamacare's Fate",https://seekingalpha.com/article/4230709-amedisys-likely-winner-regardless-obamacares-fate,AMED," Dec. 30, 2018, 2:39 PM ", The Prospector,1 Comment,
"Micron Earnings Review: Free Cash Flow Yield Is 24%, Capital Discipline Is At Hand",https://seekingalpha.com/article/4230708-micron-earnings-review-free-cash-flow-yield-24-percent-capital-discipline-hand,MU," Dec. 30, 2018, 1:50 PM "," Brian Gilmartin, CFA",72 Comments,
Come Sail To Profits With Carnival,https://seekingalpha.com/article/4230706-come-sail-profits-carnival,"CCL, CUK"," Dec. 30, 2018, 1:30 PM ", Vanaheimr Capital,10 Comments,
Dick's Sporting Goods: Awaiting A Bottom Again,https://seekingalpha.com/article/4230701-dicks-sporting-goods-awaiting-bottom,DKS," Dec. 30, 2018, 12:55 PM ", Jason Tillberg,4 Comments,
"If Schlumberger Catches Cold, Will Halliburton Catch Pneumonia?",https://seekingalpha.com/article/4230698-schlumberger-catches-cold-will-halliburton-catch-pneumonia,HAL," Dec. 30, 2018, 12:36 PM ", Shock Exchange,32 Comments,
Hargreaves Lansdown: Buy On A Pullback Then Hold For The Long-Term,https://seekingalpha.com/article/4230689-hargreaves-lansdown-buy-pullback-hold-long-term,"HRGLF, HRGLY"," Dec. 30, 2018, 11:01 AM ", Ben Holden-Crowther,6 Comments,
Cloud Peak Energy: Still Putting Coal In Investors' Stockings,https://seekingalpha.com/article/4230687-cloud-peak-energy-still-putting-coal-investors-stockings,CLD," Dec. 30, 2018, 10:19 AM ", Michael Boyd,105 Comments,
Buy Match On Strong Competitive Position Driven By Tinder,https://seekingalpha.com/article/4230684-buy-match-strong-competitive-position-driven-tinder,MTCH," Dec. 30, 2018, 9:58 AM ", Detroit Bear,10 Comments,
Kees Dekker Reviews Hudbay Minerals: Pursuing Size Over Quality,https://seekingalpha.com/article/4230683-kees-dekker-reviews-hudbay-minerals-pursuing-size-quality,HBM," Dec. 30, 2018, 9:42 AM ", The Critical Investor,7 Comments,
Week In Review: Shanghai Industrial To Start $7.3 Billion Biomedical Fund In 2019,https://seekingalpha.com/article/4230672-week-review-shanghai-industrial-start-7_3-billion-biomedical-fund-2019,"FGEN, AZN, LLY"," Dec. 30, 2018, 6:43 AM ", ChinaBio Today,,
General Electric's Healthcare IPO Is Actually Just What The Doctor Ordered,https://seekingalpha.com/article/4230660-general-electrics-healthcare-ipo-actually-just-doctor-ordered,GE," Dec. 29, 2018, 2:55 PM ", WG Investment Research,106 Comments,
Foot Locker Is Too Cheap,https://seekingalpha.com/article/4230656-foot-locker-cheap,FL," Dec. 29, 2018, 2:10 PM ", Josh Arnold,3 Comments,
Box And Dropbox: Why Growth Investors Should Own Both,https://seekingalpha.com/article/4230651-box-dropbox-growth-investors,"BOX, DBX"," Dec. 29, 2018, 1:24 PM ", Tech and Growth,9 Comments,
SolarMax Technology Aims For $18 Million IPO,https://seekingalpha.com/article/4230650-solarmax-technology-aims-18-million-ipo,SMXT," Dec. 29, 2018, 1:21 PM ", Donovan Jones,,
TJX Companies Is Finally A Buy Again,https://seekingalpha.com/article/4230647-tjx-companies-finally-buy,TJX," Dec. 29, 2018, 1:08 PM ", Josh Arnold,13 Comments,
"Axcelis Technologies: High Performance, Low Power And Outsized Returns On The Horizon",https://seekingalpha.com/article/4230645-axcelis-technologies-high-performance-low-power-outsized-returns-horizon,ACLS," Dec. 29, 2018, 12:29 PM ", David Krejca,3 Comments,
Applied Optoelectronics: Risks And Opportunities For 2019,https://seekingalpha.com/article/4230643-applied-optoelectronics-risks-opportunities-2019,AAOI," Dec. 29, 2018, 12:18 PM ", Business Quant,27 Comments,
My Tech Wreck Picks,https://seekingalpha.com/article/4230590-tech-wreck-picks,"AAPL, AVGO, CYBR"," Dec. 29, 2018, 9:00 AM ", Joe Albano,49 Comments,
GNC: Short Argument Has Run Its Course,https://seekingalpha.com/article/4230636-gnc-short-argument-run-course,GNC," Dec. 29, 2018, 7:42 AM "," Carlton Getz, CFA",48 Comments,
"Chesapeake Energy Corp.: Massacre, What Should Investors Do Now?",https://seekingalpha.com/article/4230622-chesapeake-energy-corp-massacre-investors-now,CHK," Dec. 29, 2018, 3:27 AM ", Achilles Research,125 Comments,
The Race For SolGold Is Heating Up,https://seekingalpha.com/article/4230616-race-solgold-heating,SLGGF," Dec. 29, 2018, 12:26 AM ", Gold Panda,3 Comments,
Ross Stores Is Finally A Buy Again,https://seekingalpha.com/article/4230614-ross-stores-finally-buy,ROST," Dec. 28, 2018, 11:52 PM ", Josh Arnold,15 Comments,
Antero Resources Shows Why Recent Natural Gas Price Weakness Is Overblown,https://seekingalpha.com/article/4230613-antero-resources-shows-recent-natural-gas-price-weakness-overblown,AR," Dec. 28, 2018, 11:37 PM ", KCI Research Ltd.,61 Comments,
Allergan: Lost Confidence,https://seekingalpha.com/article/4230609-allergan-lost-confidence,AGN," Dec. 28, 2018, 7:02 PM ", Stone Fox Capital,21 Comments,
Endo: How To Play The Sell-Off,https://seekingalpha.com/article/4230608-endo-play-sell,ENDP," Dec. 28, 2018, 6:52 PM ", Shock Exchange,16 Comments,
CEVA: Innovation And Excellence In Digital Signal Processing,https://seekingalpha.com/article/4230607-ceva-innovation-excellence-digital-signal-processing,CEVA," Dec. 28, 2018, 6:40 PM ", The Fundamental Investor,3 Comments,
Acorda's INBRIJA Receives Thumbs Up From FDA And Thumbs Down From Analysts,https://seekingalpha.com/article/4230604-acordas-inbrija-receives-thumbs-fda-thumbs-analysts,ACOR," Dec. 28, 2018, 6:37 PM ", Biologics,2 Comments,
Front Yard Residential: Well Positioned Into 2019,https://seekingalpha.com/article/4230606-front-yard-residential-well-positioned-2019,"PVSAX, RESI"," Dec. 28, 2018, 6:36 PM ", Michael Boyd,39 Comments,
ARC Resources: Eliminates AECO By Selling To More Profitable Markets,https://seekingalpha.com/article/4230602-arc-resources-eliminates-aeco-selling-profitable-markets,AETUF," Dec. 28, 2018, 5:50 PM ", Long Player,27 Comments,
"Laura Ashley: Low Downside Risk, Great Upside",https://seekingalpha.com/article/4230600-laura-ashley-low-downside-risk-great-upside,LARAF," Dec. 28, 2018, 5:39 PM ", Dimitrios Koutsoubos,25 Comments,
InPlay Oil And Its Cardium Locations,https://seekingalpha.com/article/4230588-inplay-oil-cardium-locations,IPOOF," Dec. 28, 2018, 4:16 PM ", Brant Munro,2 Comments,
Brexit's Ultimate Bargain: Diageo Dividends,https://seekingalpha.com/article/4230579-brexits-ultimate-bargain-diageo-dividends,DEO," Dec. 28, 2018, 3:28 PM ", Vishesh Raisinghani,15 Comments,
Nickel Monthly News For The Month Of December 2018,https://seekingalpha.com/article/4230584-nickel-monthly-news-month-december-2018,"AAUKF, AXNNF, BHP"," Dec. 28, 2018, 3:16 PM ", Matt Bohlsen,7 Comments,
General Electric: My Best Stock Pick For 2019,https://seekingalpha.com/article/4230577-general-electric-best-stock-pick-2019,GE," Dec. 28, 2018, 3:12 PM ", Achilles Research,229 Comments,
Morien Resources: Met Coal Royalty Offers Massive Free Cash Flow Yield,https://seekingalpha.com/article/4230576-morien-resources-met-coal-royalty-offers-massive-free-cash-flow-yield,APMCF," Dec. 28, 2018, 2:58 PM ", Sultan Ameerali,4 Comments,
Transocean Bags A 5-Year Contract With Chevron - A Deep Look At Fleet Status,https://seekingalpha.com/article/4230574-transocean-bags-5-year-contract-chevron-deep-look-fleet-status,RIG," Dec. 28, 2018, 2:25 PM ", Fun Trading,309 Comments,
Kala Pharmaceuticals: Update And 2019 Outlook,https://seekingalpha.com/article/4230570-kala-pharmaceuticals-update-2019-outlook,KALA," Dec. 28, 2018, 2:10 PM ", Jonathan Faison,27 Comments,
The Latest Act In The Aphria Circus: A Very Obviously Related-Party 'Hostile' Takeover Offer,https://seekingalpha.com/article/4230564-latest-act-aphria-circus-obviously-related-party-hostile-takeover-offer,APHA," Dec. 28, 2018, 1:42 PM ", Hindenburg Investment Research,283 Comments,
Chesapeake Energy: Getting Interesting,https://seekingalpha.com/article/4230560-chesapeake-energy-getting-interesting,CHK," Dec. 28, 2018, 1:28 PM ", The Value Investor,46 Comments,
Olympic Steel Inc.: Strong Outlook Amid High U.S. Industrial Demand,https://seekingalpha.com/article/4230551-olympic-steel-inc-strong-outlook-amid-high-u-s-industrial-demand,ZEUS," Dec. 28, 2018, 1:07 PM ", Singular Research,2 Comments,
Alibaba: The Christmas Rout Brought A Risk/Reward Gift For Bold Investors,https://seekingalpha.com/article/4230556-alibaba-christmas-rout-brought-risk-reward-gift-bold-investors,BABA," Dec. 28, 2018, 12:59 PM ", Nelson Alves,62 Comments,
This Is Why Netflix May Report Strong Subscriber Growth,https://seekingalpha.com/article/4230555-netflix-may-report-strong-subscriber-growth,NFLX," Dec. 28, 2018, 12:47 PM ", Mott Capital Management,27 Comments,
"Tesla Stock: Irrational Exuberance With Staying Power, For Now",https://seekingalpha.com/article/4230539-tesla-stock-irrational-exuberance-staying-power-now,TSLA," Dec. 28, 2018, 12:14 PM ", D. H. Taylor,239 Comments,
Wabash National: A Shareholder-Friendly Company That Is Worth A Look,https://seekingalpha.com/article/4230546-wabash-national-shareholder-friendly-company-worth-look,WNC," Dec. 28, 2018, 12:13 PM ", WG Investment Research,1 Comment,
Centene Corporation: An Undervalued Growth Stock,https://seekingalpha.com/article/4230544-centene-corporation-undervalued-growth-stock,CNC," Dec. 28, 2018, 11:58 AM ", Kurt Pollet,2 Comments,
"Hasbro Thesis: Yield, Brand Equity, And Content Make Stock Attractive",https://seekingalpha.com/article/4230541-hasbro-thesis-yield-brand-equity-content-make-stock-attractive,HAS," Dec. 28, 2018, 11:49 AM ", Steven Mallas,7 Comments,
Airline Stocks Are Set To Fly High,https://seekingalpha.com/article/4230530-airline-stocks-set-fly-high,"AAL, ALK, DAL"," Dec. 28, 2018, 10:52 AM ", William North,9 Comments,
"Time To Short Catastrophe Reinsurer, Blue Capital Reinsurance",https://seekingalpha.com/article/4230517-time-short-catastrophe-reinsurer-blue-capital-reinsurance,Editors' Pick , BCRH," Dec. 28, 2018, 9:23 AM ", Saidrasul Nasretdinov,19 Comments
NuVista Energy: Interesting Timing,https://seekingalpha.com/article/4230523-nuvista-energy-interesting-timing,NUVSF," Dec. 28, 2018, 9:18 AM ", Hervé Blandin,9 Comments,
Green Growth's Hostile Bid On Aphria Is Simply A Publicity Stunt,https://seekingalpha.com/article/4230520-green-growths-hostile-bid-aphria-simply-publicity-stunt,"APHA, GGBXF"," Dec. 28, 2018, 9:04 AM ", Cornerstone Investments,152 Comments,
AerCap Holdings: Cheap But What Are The Risks?,https://seekingalpha.com/article/4230519-aercap-holdings-cheap-risks,AER," Dec. 28, 2018, 9:04 AM ", IP Banking Research,230 Comments,
Twitter: All Trends Point Toward A #Turnaround,https://seekingalpha.com/article/4230512-twitter-trends-point-toward-turnaround,TWTR," Dec. 28, 2018, 8:41 AM ", Zero Sum Gamer,18 Comments,
"Materialise Jumped, Now What?",https://seekingalpha.com/article/4230510-materialise-jumped-now,MTLS," Dec. 28, 2018, 8:20 AM ", Shareholders Unite,4 Comments,
Where Marathon Oil Is And Isn't Locating Low-Cost Bakken Resources,https://seekingalpha.com/article/4230509-marathon-oil-locating-low-cost-bakken-resources,MRO," Dec. 28, 2018, 8:18 AM ", Callum Turcan,19 Comments,
3 Things Investors Need To Know About Disney In 2019,https://seekingalpha.com/article/4230503-3-things-investors-need-know-disney-2019,DIS," Dec. 28, 2018, 7:24 AM ", The Entertainment Oracle,31 Comments,
Keeping Focused Amidst The Biotech Bear,https://seekingalpha.com/article/4230239-keeping-focused-amidst-biotech-bear,Editors' Pick ," AGE, AMRN, CYDY"," Dec. 28, 2018, 6:30 AM ", SA Marketplace,85 Comments
Five Below Is A Buy On This Pullback,https://seekingalpha.com/article/4230479-five-buy-pullback,FIVE," Dec. 28, 2018, 3:11 AM ", Josh Arnold,2 Comments,
"Retail Was Nice, Amazon Was Nicer",https://seekingalpha.com/article/4230471-retail-nice-amazon-nicer,AMZN," Dec. 28, 2018, 1:07 AM ", Sam Warren,10 Comments,
Takeaway: Taking Away Its Major Competitor,https://seekingalpha.com/article/4230470-takeaway-taking-away-major-competitor,TKAYF," Dec. 27, 2018, 11:45 PM ", The Value Investor,,
General Electric Is A Very Strong Buy,https://seekingalpha.com/article/4230469-general-electric-strong-buy,GE," Dec. 27, 2018, 11:09 PM ", Value Capture Strategist,217 Comments,
Flotek Fights Hard To Stay Above The Water,https://seekingalpha.com/article/4230468-flotek-fights-hard-stay-water,FTK," Dec. 27, 2018, 9:21 PM ", Badsha Chowdhury,5 Comments,
Tencent Can Leverage WeChat In Auto Sector,https://seekingalpha.com/article/4230467-tencent-can-leverage-wechat-auto-sector,TCEHY," Dec. 27, 2018, 8:21 PM ", Nick Cox,26 Comments,
Breaking Down The Maverix Deal With Northern Vertex CEO Kenneth Berry,https://seekingalpha.com/article/4230463-breaking-maverix-deal-northern-vertex-ceo-kenneth-berry,NHVCF," Dec. 27, 2018, 7:46 PM ", Robert Kientz,10 Comments,
AT&Ts Massive Debt Is Scaring Away Some Investors - Not Us,https://seekingalpha.com/article/4230461-ts-massive-debt-scaring-away-investors-us,T," Dec. 27, 2018, 7:08 PM ", Vanaheimr Capital,89 Comments,
"Tesla Down 40% In Norway's Q4, 63% Of Which Explained By Jaguar",https://seekingalpha.com/article/4230459-tesla-40-percent-norways-q4-63-percent-explained-jaguar,TSLA," Dec. 27, 2018, 6:27 PM ", Anton Wahlman,543 Comments,
Micron's Trajectory After The Q1 2019 Earnings Release,https://seekingalpha.com/article/4230451-microns-trajectory-q1-2019-earnings-release,MU," Dec. 27, 2018, 5:57 PM ", Jeffery Margolf,27 Comments,
Facebook's Fair Value Estimate,https://seekingalpha.com/article/4230455-facebooks-fair-value-estimate,FB," Dec. 27, 2018, 5:51 PM ", Dilantha De Silva,77 Comments,
LyondellBasell: A Safe Buy In The Current Market Tumble,https://seekingalpha.com/article/4230448-lyondellbasell-safe-buy-current-market-tumble,LYB," Dec. 27, 2018, 5:00 PM ", Tien Duy Vo,19 Comments,
Is Xerox Undervalued?,https://seekingalpha.com/article/4230445-xerox-undervalued,XRX," Dec. 27, 2018, 4:38 PM ", Edward Ambrose,10 Comments,
U.S. Banks: What To Expect In 2019,https://seekingalpha.com/article/4230444-u-s-banks-expect-2019,XLF," Dec. 27, 2018, 4:38 PM ", Renaissance Research,8 Comments,
Nike: 2 Reasons Why Margins Should Not Be A Concern,https://seekingalpha.com/article/4230443-nike-2-reasons-margins-concern,NKE," Dec. 27, 2018, 4:36 PM ", D.M. Martins Research,5 Comments,
General Electric Healthcare IPO Is Too Risky In This Environment,https://seekingalpha.com/article/4230438-general-electric-healthcare-ipo-risky-environment,GE," Dec. 27, 2018, 4:09 PM ", TradeCircle,61 Comments,
"Johnson & Johnson Will Survive Its Talc Problem, But Shares Are Still In Trouble",https://seekingalpha.com/article/4230431-johnson-and-johnson-will-survive-talc-problem-shares-still-trouble,JNJ," Dec. 27, 2018, 3:15 PM ", TradeCircle,53 Comments,
Graphite Miners News For The Month Of December 2018,https://seekingalpha.com/article/4230430-graphite-miners-news-month-december-2018,"APMFF, BSSMF, CYLYF"," Dec. 27, 2018, 3:12 PM ", Matt Bohlsen,7 Comments,
goeasy: Best Valued Financial Stock On The TSX,https://seekingalpha.com/article/4230427-goeasy-best-valued-financial-stock-tsx,EHMEF," Dec. 27, 2018, 3:08 PM ", Mat Litalien,24 Comments,
Box Is A Bargain Right Now,https://seekingalpha.com/article/4230414-box-bargain-right-now,BOX," Dec. 27, 2018, 1:56 PM ", Bret Kenwell,14 Comments,
Uncovering The Uncovered: National HealthCare Corporation,https://seekingalpha.com/article/4230411-uncovering-uncovered-national-healthcare-corporation,NHC," Dec. 27, 2018, 1:39 PM ", Ingenuous Diogenes Investing,4 Comments,
Vanadium Miners News For The Month Of December 2018,https://seekingalpha.com/article/4230406-vanadium-miners-news-month-december-2018,"AMVMF, APAFF, ATVVF"," Dec. 27, 2018, 1:00 PM ", Matt Bohlsen,12 Comments,
Apple: A Buying Opportunity Has Arrived,https://seekingalpha.com/article/4230405-apple-buying-opportunity-arrived,AAPL," Dec. 27, 2018, 12:59 PM ", Victor Dergunov,174 Comments,
Intuit: Unlocking Growth Opportunity Through Xero Acquisition,https://seekingalpha.com/article/4230402-intuit-unlocking-growth-opportunity-xero-acquisition,INTU," Dec. 27, 2018, 12:38 PM ", Tech and Growth,7 Comments,
